,genre,win,mac,linux,positive_ratio,price_final,title
78,Adventure,1,0,0,1.1446317411336395,45225.2295,Archon Classic
79,Adventure,1,1,1,0.910502521356304,4481.779500000001,Tomb Raider: Pistol Silencer
80,Adventure,1,0,0,1.157638920010158,67860.4795,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION
81,Adventure,1,1,1,1.2226748143927513,90495.7295,Hyper Light Drifter
82,Adventure,1,1,1,1.1446317411336395,90495.7295,Drox Operative
83,Adventure,1,0,0,0.910502521356304,45225.2295,Pool Nation FX Lite
84,Adventure,1,1,1,1.0405743101214904,45225.2295,Windward
85,Adventure,1,0,0,1.2096676355162326,22589.9795,Pixel Puzzles 2: Space
86,Adventure,1,0,0,1.1186173833806021,4481.779500000001,METAL GEAR SOLID V: THE PHANTOM PAIN - Jumpsuit (EVA)
87,Adventure,1,0,0,1.2096676355162326,90495.7295,DARQ: Complete Edition
88,Adventure,1,1,1,1.2486891721457885,113130.9795,The Jackbox Party Pack 3
89,Adventure,1,1,0,1.1186173833806021,36171.1295,Homeworld: Deserts of Kharak - Soundtrack
90,Adventure,1,0,0,1.2486891721457885,905364.7295000001,3DF Zephyr Lite Steam Edition
91,Adventure,1,0,0,1.2096676355162326,13535.879500000001,LEGO® MARVEL's Avengers DLC - The Masters of Evil Pack
92,Adventure,1,0,0,0.9885455946154159,0.0,Three Kingdoms 2019 阿达三国志2019 横版
93,Adventure,1,1,1,1.092603025627565,45225.2295,Enigmatis: The Ghosts of Maple Creek
94,Adventure,1,0,0,0.9625312368623786,36171.1295,Darkness Within 1: In Pursuit of Loath Nolder
95,Adventure,1,1,1,1.2486891721457885,45225.2295,Tex Murphy: Under a Killing Moon
96,Adventure,1,1,0,0.9755384157388972,135766.2295,Buzz Aldrin's Space Program Manager
97,Adventure,1,1,1,1.1836532777631954,31644.079500000003,Fatty Bear's Birthday Surprise
98,Adventure,1,0,0,1.1316245622571208,90495.7295,Train Simulator: Semmeringbahn - Mürzzuschlag to Gloggnitz Route Add-On
99,Adventure,1,0,1,1.2356819932692698,90495.7295,Black Mesa
100,Adventure,1,1,1,1.1836532777631954,22589.9795,Invisible Inc. Contingency Plan
101,Adventure,1,1,1,0.806445090344155,36171.1295,Dungeons 2 - A Game of Winter
102,Adventure,1,0,0,0.6113374071963756,9008.8295,Just Cause™ 3 - Combat Buggy
